del kontinenta,višina moških,teža moških,višina žensk,teža žensk
Northern Africa,1.73,77.9,1.61,73.7
Eastern Africa,1.67,60.1,1.57,56.2
Western Africa,1.70,64.9,1.59,60.1
Southern Africa,1.69,71.2,1.59,73.2
Central Africa,1.69,62.6,1.58,58.0
Caribbean,1.74,78.8,1.61,68.9
North America,1.75,87.5,1.62,75.1
South America,1.73,79.4,1.60,69.2
Central America,1.68,74.0,1.54,66.1
Western Asia,1.72,80.6,1.59,72.2
East Asia,1.74,73.3,1.62,61.6
South Asia,1.66,60.9,1.55,54.0
Central Asia,1.71,77.0,1.60,69.2
Southeast Asia,1.67,62.8,1.55,56.7
Australia/New Zealand,1.78,88.4,1.65,73.1
Western Europe,1.80,86.1,1.66,69.2
Southern Europe,1.76,83.2,1.63,66.9
Northern Europe,1.79,87.1,1.65,72.3
Eastern Europe,1.78,83.8,1.65,72.2
Polynesia,1.76,93.8,1.65,87.3
Melanesia,1.64,68.1,1.57,64.6
Micronesia,1.69,82.7,1.59,78.9
