ime države,višina žensk,teža žensk,ITM žensk
Netherlands,1.70,73.2,25.3
Montenegro,1.70,75.3,26.2
Denmark,1.69,70.2,24.6
Iceland,1.68,72.6,25.6
Estonia,1.68,73.7,26.0
Serbia,1.68,72.6,25.7
Latvia,1.68,74.5,26.4
Czechia,1.68,74.2,26.4
Lithuania,1.67,73.1,26.1
Slovenia,1.67,74.2,26.6
Bosnia and Herzegovina,1.67,70.6,25.3
Cook Islands,1.67,92.8,33.3
American Samoa,1.67,98.1,35.2
Slovakia,1.67,71.3,25.6
Croatia,1.67,74.7,26.9
Dominica,1.67,80.8,29.1
Sweden,1.67,70.5,25.4
Niue,1.67,92.6,33.4
Norway,1.66,72.6,26.2
Austria,1.66,68.3,24.7
Belarus,1.66,74.4,26.9
Ukraine,1.66,72.9,26.4
Finland,1.66,71.0,25.7
French Polynesia,1.66,81.3,29.5
Germany,1.66,71.7,26.0
Tonga,1.66,93.1,33.9
Tokelau,1.66,92.5,33.7
Bermuda,1.66,80.4,29.3
Poland,1.65,71.5,26.1
Greece,1.65,73.7,26.9
Grenada,1.65,78.7,28.8
Antigua and Barbuda,1.65,75.9,27.8
Andorra,1.65,71.7,26.3
Saint Lucia,1.65,82.4,30.3
Luxembourg,1.65,69.7,25.7
New Zealand,1.65,75.9,28.0
Canada,1.65,72.4,26.7
Australia,1.65,72.6,26.8
France,1.64,66.0,24.4
Russia,1.64,72.2,26.7
Ireland,1.64,73.1,27.1
Romania,1.64,72.2,26.8
Bulgaria,1.64,69.6,25.9
Switzerland,1.64,63.9,23.8
United Kingdom,1.64,72.7,27.1
Belgium,1.64,68.8,25.7
Lebanon,1.63,73.4,27.5
Tuvalu,1.63,84.6,31.8
United States,1.63,77.1,29.0
Puerto Rico,1.63,76.0,28.6
Samoa,1.63,90.5,34.1
China,1.63,62.2,23.5
Georgia,1.63,73.2,27.7
South Korea,1.63,61.0,23.1
Hungary,1.62,70.1,26.6
Spain,1.62,65.9,25.1
Brazil,1.62,70.3,26.8
Albania,1.62,69.2,26.4
Israel,1.62,71.1,27.1
Algeria,1.62,69.4,26.5
Chad,1.62,57.3,21.9
Kazakhstan,1.61,69.3,26.6
Turkey,1.61,75.0,28.8
Italy,1.61,64.8,24.9
Singapore,1.61,60.2,23.2
Iran,1.61,70.5,27.2
Portugal,1.61,65.8,25.4
Argentina,1.61,71.4,27.6
Kiribati,1.61,80.3,31.1
Morocco,1.61,68.7,26.6
North Korea,1.61,61.9,24.0
Qatar,1.60,77.6,30.2
Taiwan,1.60,60.9,23.7
Hong Kong,1.60,61.1,23.8
Haiti,1.60,62.1,24.2
Egypt,1.60,80.5,31.4
Cameroon,1.60,64.3,25.1
United Arab Emirates,1.60,75.6,29.5
Cuba,1.60,66.8,26.1
Costa Rica,1.60,71.7,28.0
Kuwait,1.60,78.1,30.6
Sudan,1.60,66.3,26.0
Mongolia,1.60,67.8,26.6
Zimbabwe,1.60,64.6,25.4
Palau,1.59,75.4,29.7
Somalia,1.59,60.4,23.8
Niger,1.59,56.6,22.3
Chile,1.59,71.5,28.2
Micronesia,1.59,79.6,31.4
Kenya,1.59,61.8,24.4
Thailand,1.59,63.3,25.0
Mauritius,1.59,65.7,26.0
Ghana,1.59,63.3,25.2
South Africa,1.58,74.1,29.5
Iraq,1.58,74.4,29.7
Saudi Arabia,1.58,73.6,29.4
Japan,1.58,54.8,21.9
Colombia,1.58,66.4,26.7
Nigeria,1.58,59.7,24.0
Vietnam,1.58,54.0,21.7
Nauru,1.58,82.2,33.1
Mexico,1.57,70.7,28.5
Eritrea,1.57,52.2,21.1
Ethiopia,1.57,51.6,21.0
Malaysia,1.57,64.0,26.1
Congo (Dem. Republic),1.56,55.0,22.6
El Salvador,1.56,68.8,28.3
Sri Lanka,1.55,57.3,23.7
Bolivia,1.55,66.8,27.7
Afghanistan,1.55,57.9,24.0
India,1.55,52.5,21.9
Ecuador,1.55,66.9,27.9
Burundi,1.55,51.5,21.5
Brunei,1.55,65.0,27.2
Pakistan,1.54,58.9,24.7
Cambodia,1.54,52.8,22.2
Myanmar,1.54,54.7,23.0
Maldives,1.54,62.4,26.3
Indonesia,1.54,56.2,23.7
Yemen,1.54,56.9,24.0
Philippines,1.54,55.5,23.5
Laos,1.53,53.7,23.0
Madagascar,1.53,49.2,21.1
Bangladesh,1.52,50.5,21.8
Nepal,1.52,51.6,22.3
East Timor,1.52,49.0,21.2
Guatemala,1.51,61.9,27.3
